ID,BoutNumber,Start_Date,Start_Time,End_Date,End_Time,Duration
5,42,12/3/2018,22:42:00,12/4/2018,07:10:00,508
5,43,12/5/2018,00:26:00,12/5/2018,06:40:00,374
5,44,12/5/2018,22:13:00,12/6/2018,07:22:00,549
5,45,12/6/2018,22:48:00,12/7/2018,06:17:00,449
5,46,12/8/2018,22:51:00,12/9/2018,05:32:00,401
5,47,12/9/2018,22:08:00,12/10/2018,07:01:00,533
5,48,12/10/2018,22:36:00,12/11/2018,06:15:00,459
5,49,12/11/2018,22:42:00,12/12/2018,05:31:00,409
5,50,12/12/2018,22:29:00,12/13/2018,07:07:00,518
5,51,12/13/2018,22:52:00,12/14/2018,05:45:00,413
IG112018,1,10/16/2018,23:43:00,10/17/2018,06:10:00,387
IG112018,2,10/17/2018,22:49:00,10/18/2018,06:23:00,454
IG112018,3,10/19/2018,03:49:00,10/19/2018,08:03:00,254
IG112018,4,10/19/2018,22:07:00,10/20/2018,06:34:00,507
IG112018,5,10/20/2018,23:02:00,10/21/2018,06:43:00,461
IG112018,6,10/21/2018,22:51:00,10/22/2018,06:10:00,439
IG112018,7,10/22/2018,23:19:00,10/23/2018,07:44:00,505
IG112018,8,10/23/2018,21:09:00,10/24/2018,07:08:00,599
IG112018,9,10/24/2018,22:37:00,10/25/2018,06:18:00,461
IG112018,10,10/25/2018,23:12:00,10/26/2018,06:40:00,448
IG112018,11,10/26/2018,22:10:00,10/27/2018,06:41:00,511
IG112018,12,10/30/2018,22:43:00,10/31/2018,05:51:00,428
IG112018,13,11/1/2018,21:27:00,11/2/2018,07:01:00,574
IG112018,14,11/2/2018,21:47:00,11/3/2018,06:05:00,498
IG112018,15,11/3/2018,23:09:00,11/4/2018,06:09:00,420
IG112018,16,11/5/2018,23:49:00,11/6/2018,06:23:00,394
IG112018,17,11/9/2018,22:48:00,11/10/2018,05:58:00,430
IG112018,18,11/10/2018,22:35:00,11/11/2018,05:38:00,423
IG112018,19,11/11/2018,23:19:00,11/12/2018,05:05:00,346
IG112018,20,11/13/2018,21:15:00,11/14/2018,06:47:00,572
IG112018,21,11/14/2018,22:15:00,11/15/2018,06:45:00,510
IG112018,22,11/15/2018,22:39:00,11/16/2018,06:32:00,473
IG112018,23,11/16/2018,21:35:00,11/17/2018,06:24:00,529
IG112018,24,11/17/2018,22:33:00,11/18/2018,05:15:00,402
IG112018,25,11/18/2018,21:22:00,11/19/2018,07:35:00,613
IG112018,26,11/19/2018,21:50:00,11/20/2018,06:36:00,526
IG112018,27,11/20/2018,22:00:00,11/21/2018,08:19:00,619
IG112018,28,11/21/2018,22:35:00,11/22/2018,06:38:00,483
IG112018,29,11/22/2018,23:17:00,11/23/2018,08:00:00,523
IG112018,30,11/23/2018,23:32:00,11/24/2018,07:35:00,483
IG112018,31,11/24/2018,22:20:00,11/25/2018,07:13:00,533
IG112018,32,11/25/2018,22:18:00,11/26/2018,08:08:00,590
IG112018,33,11/26/2018,21:33:00,11/27/2018,06:14:00,521
IG112018,34,11/27/2018,22:49:00,11/28/2018,07:10:00,501
IG112018,35,11/30/2018,05:22:00,11/30/2018,08:05:00,163
IG112018,36,11/30/2018,21:48:00,12/1/2018,05:03:00,435
IG112018,37,12/1/2018,21:33:00,12/2/2018,05:55:00,502
IG112018,38,12/2/2018,21:37:00,12/3/2018,07:25:00,588
IG112018,39,12/3/2018,21:23:00,12/4/2018,08:17:00,654
IG112018,40,12/4/2018,21:26:00,12/5/2018,06:43:00,557
IG112018,41,12/5/2018,22:02:00,12/6/2018,06:28:00,506
IG112018,42,12/6/2018,21:14:00,12/7/2018,06:31:00,557
